Household_income,Social-circle_income,Mean_population_income,Social-circle_inequality,Population_inequality,Fairness_satisfaction,Redistribution_support
,21150,29715,28.05673759,38.78293791,1,5.5
20,65355,123630,24.32338765,37.21451104,3.5,3.25
100,107100,60000,14.44257703,20.75,5,3.75
150,86640,59355,26.92590028,35.37958049,7,2.75
500,56850,15360,21.40105541,16.875,4.5,3
600,59835,57600,37.08824267,40.92447917,2.5,3.75
600,61395,80745,23.66943562,35.72710385,3,4.25
600,52500,79515,7.142857143,36.57026976,4.5,3.5
600,35850,39885,49.38912134,44.77811207,4,3.75
680,61770,58650,30.91160758,31.72378517,4.5,3.5
1000,103725,46860,35.40347072,51.48527529,4.5,4.75
1000,18975,14205,21.76679842,14.26293559,4.5,3
1100,17610,29415,26.44804089,32.33503315,1,5.25
1200,22800,58275,29.5,47.70785071,3,5.25
1400,82110,61365,25.54439167,26.77804938,2.5,4
1600,60150,44790,46.82793017,42.26188881,2,3.5
2000,52500,32370,33.27142857,25.4652456,5,3.5
3800,45975,46950,30.20391517,18.11182109,5,3
4000,40470,65970,33.12972572,34.70986812,2,5
4000,43500,40200,20.53793103,19.44776119,3,3.75
4200,44850,74745,38.65886288,20.69215332,9,2.25
5000,44940,43485,30.82910547,36.20041394,4.5,4
5000,60225,47175,33.03237858,33.01589825,6,2.5
5299.99,48000,49890,12.3125,19.39987974,3,5.25
5583,84825,77460,17.79221927,34.14407436,3,4.5
6000,52560,51690,40.59646119,51.51305862,1,5
6000,101820,75405,36.75957572,33.49452954,1,2
6000,76095,71130,23.34102109,27.18515394,5,2.75
6000,32895,61785,30.78385773,35.12381646,1.5,4.25
7500,25800,53175,32.40697674,35.82933709,1,4.5
9000,29595,58650,18.56006082,48.20971867,6,2.75
9000,18120,25440,27.66887417,42.95636792,2,3.75
9200,22980,47205,25.11879896,36.35112806,2.5,4.75
10000,30750,56970,43.70731707,37.10742496,1,4.5
10100,17745,47250,27.75908707,42.5015873,3,3.5
10500,22050,56415,16.70068027,42.40600904,1,5.75
12000,25545,51840,37.59189665,46.82696759,3,5
